kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds
敷,15,1212,junior high,N1,"{'丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', '十': 'http:////jisho.org/search/%E5%8D%81%20%23kanji', '攵': 'http:////jisho.org/search/%E6%94%B5%20%23kanji', '方': 'http:////jisho.org/search/%E6%96%B9%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'攴 (攵)': 'rap'},{'フ': 'http:////jisho.org/search/%E6%95%B7%20%E3%81%B5'},"{'し.く': 'http:////jisho.org/search/%E6%95%B7%20%E3%81%97%E3%81%8F', '-し.き': 'http:////jisho.org/search/%E6%95%B7%20%E3%81%97%E3%81%8D'}","['敷設  【フセツ】  laying (a railroad, pipes, naval mines, etc.), construction', '敷衍  【フエン】  expatiation, amplification (upon), elaboration']","['敷く  【しく】  to spread out, to lay out, to take a position, to impose widely (e.g. over a city)']"
膚,15,1679,junior high,N2,"{'匕': 'http:////jisho.org/search/%E5%8C%95%20%23kanji', '卜': 'http:////jisho.org/search/%E5%8D%9C%20%23kanji', '厂': 'http:////jisho.org/search/%E5%8E%82%20%23kanji', '月': 'http:////jisho.org/search/%E6%9C%88%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji', '虍': 'http:////jisho.org/search/%E8%99%8D%20%23kanji'}",{'肉 (⺼)': 'meat'},{'フ': 'http:////jisho.org/search/%E8%86%9A%20%E3%81%B5'},{'はだ': 'http:////jisho.org/search/%E8%86%9A%20%E3%81%AF%E3%81%A0'},"['肌膚  【キフ】  skin', 'ただれた皮膚  【タダレタヒフ】  inflamed skin']","['肌  【はだ】  skin, body (in the context of intimate bodily contact), surface, grain (e.g. of wood), texture, disposition, temperament, character, type', '肌着  【はだぎ】  underwear, underclothes, lingerie, chemise, singlet', ""山肌  【やまはだ】  mountain's surface, bare surface of a mountain"", ""地肌  【じはだ】  texture, grain, one's skin (lacking makeup, etc.), natural skin, bare skin, scalp, surface of the earth, bare ground, surface of a sword blade""]"
賦,15,,junior high,N1,"{'ハ': 'http:////jisho.org/search/%E3%83%8F%20%23kanji', '弋': 'http:////jisho.org/search/%E5%BC%8B%20%23kanji', '止': 'http:////jisho.org/search/%E6%AD%A2%20%23kanji', '目': 'http:////jisho.org/search/%E7%9B%AE%20%23kanji', '貝': 'http:////jisho.org/search/%E8%B2%9D%20%23kanji'}",{'貝': 'shell'},,"{'フ': 'http:////jisho.org/search/%E8%B3%A6%20%E3%81%B5', 'ブ': 'http:////jisho.org/search/%E8%B3%A6%20%E3%81%B6'}","['賦  【フ】  poem, narrative (style of the Shi Jing), classical Chinese rhymed prose', '賦課  【フカ】  levy, imposition', '配賦  【ハイフ】  allocation, apportionment, distribution', '貢賦  【コウフ】  tribute and taxation', '賦役  【フエキ】  slave labour, slave labor, compulsory service, forced labour, forced labor, exacted service', '賦払い  【ブバライ】  payment on an installment system, payment on an instalment system, easy payment plan']",
譜,19,1919,junior high,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '并': 'http:////jisho.org/search/%E5%B9%B6%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '言': 'http:////jisho.org/search/%E8%A8%80%20%23kanji'}",{'言 (訁)': 'speech'},,{'フ': 'http:////jisho.org/search/%E8%AD%9C%20%E3%81%B5'},"['譜  【フ】  (sheet) music, (musical) note, (musical) score, genealogy, family tree, record of a game of go, shogi, chess, etc.', '譜面  【フメン】  sheet music, score', '系譜  【ケイフ】  genealogy, lineage, family tree, pedigree', '五線譜  【ゴセンフ】  staff notation']",
侮,8,2004,junior high,N1,"{'化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '毋': 'http:////jisho.org/search/%E6%AF%8B%20%23kanji', '母': 'http:////jisho.org/search/%E6%AF%8D%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}","{'人 (亻)': 'man, human'}",{'ブ': 'http:////jisho.org/search/%E4%BE%AE%20%E3%81%B6'},"{'あなど.る': 'http:////jisho.org/search/%E4%BE%AE%20%E3%81%82%E3%81%AA%E3%81%A9%E3%82%8B', 'あなず.る': 'http:////jisho.org/search/%E4%BE%AE%20%E3%81%82%E3%81%AA%E3%81%9A%E3%82%8B'}","['侮  【ブ】  (something) despised, (something) made light of', '侮辱  【ブジョク】  insult, affront, slight, contempt (e.g. of court)', '軽侮  【ケイブ】  contempt, scorn']","['侮る  【あなどる】  to disdain, to look down on, to make light of, to hold in contempt, to scorn, to despise', '侮る  【あなどる】  to disdain, to look down on, to make light of, to hold in contempt, to scorn, to despise']"
武,8,387,grade 5,N2,"{'弋': 'http:////jisho.org/search/%E5%BC%8B%20%23kanji', '止': 'http:////jisho.org/search/%E6%AD%A2%20%23kanji'}",{'止': 'stop'},"{'ブ': 'http:////jisho.org/search/%E6%AD%A6%20%E3%81%B6', 'ム': 'http:////jisho.org/search/%E6%AD%A6%20%E3%82%80'}","{'たけ': 'http:////jisho.org/search/%E6%AD%A6%20%E3%81%9F%E3%81%91', 'たけ.し': 'http:////jisho.org/search/%E6%AD%A6%20%E3%81%9F%E3%81%91%E3%81%97'}","['武  【ブ】  the art of war, martial arts, military arts, military force, the sword, valor, bravery, military officer, military man', '武器  【ブキ】  weapon, arms, ordnance, weapon (something used to gain an advantage), asset', '文武  【ブンブ】  literary and military arts, the pen and the sword', '威武  【イブ】  authority and force', '武者  【ムシャ】  warrior', '武者修行  【ムシャシュギョウ】  traveling about to gain skill in combat (travelling)', '建武  【ケンム】  Kenmu era (of unified Japan) (1334.1.29-1336.2.29), Kenmu era (of the Northern Court) (1336.2.29-1338.8.28)', '玄武  【ゲンブ】  Black Tortoise (god said to rule over the northern heavens), seven mansions (Chinese constellations) of the northern heavens']","['武し  【たけし】  brave', '武し  【たけし】  brave']"
部,11,36,grade 3,N3,"{'口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '邦': 'http:////jisho.org/search/%E9%82%A6%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji'}",{'邑 (阝)': 'town (阝 right)'},{'ブ': 'http:////jisho.org/search/%E9%83%A8%20%E3%81%B6'},{'-べ': 'http:////jisho.org/search/%E9%83%A8%20%E3%81%B9'},"['部  【ブ】  department (in an organization), division, bureau, club, part, component, element, category, counter for copies of a newspaper or magazine', '部位  【ブイ】  part (esp. of the body), region, site, cut (of meat)', '情報部  【ジョウホウブ】  information bureau, intelligence department', '首脳部  【シュノウブ】  executives, top management, governing body']",
舞,15,655,junior high,N3,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '夕': 'http:////jisho.org/search/%E5%A4%95%20%23kanji', '舛': 'http:////jisho.org/search/%E8%88%9B%20%23kanji', '無': 'http:////jisho.org/search/%E7%84%A1%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'舛': 'opposite'},{'ブ': 'http:////jisho.org/search/%E8%88%9E%20%E3%81%B6'},"{'ま.う': 'http:////jisho.org/search/%E8%88%9E%20%E3%81%BE%E3%81%86', '-ま.う': 'http:////jisho.org/search/%E8%88%9E%20%E3%81%BE%E3%81%86', 'まい': 'http:////jisho.org/search/%E8%88%9E%20%E3%81%BE%E3%81%84'}","['舞台裏  【ブタイウラ】  offstage, backstage, behind the scenes', '舞台  【ブタイ】  stage (theatre, theater), scene or setting (e.g. of novel, play, etc.)', '演舞  【エンブ】  dance performance', '歌舞  【カブ】  singing and dancing']","['舞う  【まう】  to dance (orig. a whirling dance), to flutter about, to revolve', '舞  【まい】  dancing, dance', '舞い上がる  【まいあがる】  to soar, to fly high, to be whirled up, to make merry, to be ecstatic, to be in high spirits', '立ち居振る舞い  【たちいふるまい】  movements, behavior, behaviour, bearing, deportment, manners, demeanor', '獅子舞  【ししまい】  lion dance, traditional dance performed by one or more dancers wearing a guardian lion costume']"
封,9,1143,junior high,N2,"{'土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '寸': 'http:////jisho.org/search/%E5%AF%B8%20%23kanji'}","{'寸': 'thumb, inch'}",,"{'フウ': 'http:////jisho.org/search/%E5%B0%81%20%E3%81%B5%E3%81%86', 'ホウ': 'http:////jisho.org/search/%E5%B0%81%20%E3%81%BB%E3%81%86'}","['封  【フウ】  seal', '封鎖  【フウサ】  blockade, freezing (funds)', '帯封  【オビフウ】  bill strap, currency strap, currency band, money band, wrapper band, newspaper band', '液封  【エキフウ】  liquid seal, liquid ring', '封建的  【ホウケンテキ】  feudal, feudalistic', '封建主義  【ホウケンシュギ】  feudalism', '移封  【イホウ】  forced relocation of a daimyo to a different domain by the Edo shogunate', '旧封  【キュウホウ】  former fief']",
風,9,558,grade 2,N4,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '几': 'http:////jisho.org/search/%E5%87%A0%20%23kanji', '虫': 'http:////jisho.org/search/%E8%99%AB%20%23kanji', '風': 'http:////jisho.org/search/%E9%A2%A8%20%23kanji'}",{'風': 'wind'},"{'フウ': 'http:////jisho.org/search/%E9%A2%A8%20%E3%81%B5%E3%81%86', 'フ': 'http:////jisho.org/search/%E9%A2%A8%20%E3%81%B5'}","{'かぜ': 'http:////jisho.org/search/%E9%A2%A8%20%E3%81%8B%E3%81%9C', 'かざ-': 'http:////jisho.org/search/%E9%A2%A8%20%E3%81%8B%E3%81%96'}","['風  【フウ】  method, manner, way, style, appearance, air, tendency, folk song (genre of the Shi Jing), wind (one of the five elements)', '風格  【フウカク】  personality, style, appearance', '逆風  【ギャクフウ】  headwind, adverse wind', '作風  【サクフウ】  literary style', '風  【フウ】  method, manner, way, style, appearance, air, tendency, folk song (genre of the Shi Jing), wind (one of the five elements)', ""振り  【フリ】  swing, shake, wave, swinging, appearance, behaviour, pretence (pretense), show, pretending (to), going to restaurant, hotel etc. without a reservation or introduction, move (dance), postures, lead in (e.g. to a running joke, asking a question), lead up, unsewn part of a hanging sleeve on a traditional Japanese woman's garment, counter for swords, blades, etc., not wearing underwear or pants"", '中風  【チュウフウ】  palsy, paralysis', '破風  【ハフ】  gable']","['風  【かぜ】  wind, breeze, draught, draft, manner, behaviour, behavior, cold, influenza', '風邪  【かぜ】  common cold, cold, influenza, flu, ague', '涼風  【りょうふう】  cool breeze, refreshing breeze', '西風  【にしかぜ】  west wind']"
伏,6,1604,junior high,N1,"{'化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '犬': 'http:////jisho.org/search/%E7%8A%AC%20%23kanji'}","{'人 (亻)': 'man, human'}",{'フク': 'http:////jisho.org/search/%E4%BC%8F%20%E3%81%B5%E3%81%8F'},"{'ふ.せる': 'http:////jisho.org/search/%E4%BC%8F%20%E3%81%B5%E3%81%9B%E3%82%8B', 'ふ.す': 'http:////jisho.org/search/%E4%BC%8F%20%E3%81%B5%E3%81%99'}","['伏兵  【フクヘイ】  ambush, troops in ambush, unexpected opposition, unexpected obstacle', '伏線  【フクセン】  foreshadowing, preparation, precautionary measures', '起伏  【キフク】  undulation, ups and downs, highs and lows', '承服  【ショウフク】  accepting, consenting, agreeing, submission, compliance, agreement, consent']","[""伏せる  【ふせる】  to turn over (face down), to lay face down, to lay upside down, to point downwards (eyes, head, etc.), to cast down (eyes), to lie (one's body) face down, to lie flat (on the ground), to conceal, to hide, to keep secret, to place in hiding (e.g. troops for an ambush), to lie down, to retire, to go to bed (with an illness)"", '伏す  【ふす】  to bend down, to bow down, to prostrate oneself, to hide oneself']"
服,8,873,grade 3,N4,"{'卩': 'http:////jisho.org/search/%E5%8D%A9%20%23kanji', '又': 'http:////jisho.org/search/%E5%8F%88%20%23kanji', '月': 'http:////jisho.org/search/%E6%9C%88%20%23kanji'}","{'月': 'moon, month'}",,{'フク': 'http:////jisho.org/search/%E6%9C%8D%20%E3%81%B5%E3%81%8F'},"['服  【フク】  clothes (esp. Western clothes), counter for doses of medicine, gulps of tea, drags of a cigarette, etc.', '服役  【フクエキ】  penal servitude, military service', '私服  【シフク】  civilian clothes, plain clothes, mufti, plainclothes police officer', '呉服  【ゴフク】  cloth (for Japanese clothes), kimono fabrics, textile, drapery, dry goods, piece goods, silk fabrics']",
副,11,360,grade 4,N2,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '刈': 'http:////jisho.org/search/%E5%88%88%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji'}","{'刀 (刂)': 'knife, sword'}",,{'フク': 'http:////jisho.org/search/%E5%89%AF%20%E3%81%B5%E3%81%8F'},"['副  【フク】  assistant, associate, vice-, sub-, deputy, substitute, auxiliary, supplementary, additional, collateral, duplicate, copy, adverb', '副作用  【フクサヨウ】  side effect, adverse reaction', '正副  【セイフク】  original and copy (of a document), principal and vice, chief and vice-chief', '関副  【カンフク】  relative adverb']",
幅,12,641,junior high,N2,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '巾': 'http:////jisho.org/search/%E5%B7%BE%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji'}","{'巾': 'turban, scarf'}",{'フク': 'http:////jisho.org/search/%E5%B9%85%20%E3%81%B5%E3%81%8F'},{'はば': 'http:////jisho.org/search/%E5%B9%85%20%E3%81%AF%E3%81%B0'},"['幅  【フク】  scroll, counter for scrolls', '幅員  【フクイン】  breadth, extent', '増幅  【ゾウフク】  amplification (elec.), magnification, amplification, making larger', '双幅  【ソウフク】  pair of hanging scrolls']","['幅  【はば】  width, breadth, freedom (e.g. of thought), latitude, gap, difference (e.g. in price), range (e.g. of voice)', '幅広い  【はばひろい】  extensive, wide, broad', '小幅  【こはば】  small, narrow, single-breadth cloth (approx. 36 cm wide)', '値幅  【ねはば】  price range or fluctuation']"
復,12,438,grade 5,N2,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '人': 'http:////jisho.org/search/%E4%BA%BA%20%23kanji', '夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '彳': 'http:////jisho.org/search/%E5%BD%B3%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'彳': 'step'},{'フク': 'http:////jisho.org/search/%E5%BE%A9%20%E3%81%B5%E3%81%8F'},{'また': 'http:////jisho.org/search/%E5%BE%A9%20%E3%81%BE%E3%81%9F'},"['復旧  【フッキュウ】  restoration, restitution, rehabilitation', '復員  【フクイン】  demobilization, demobilisation, repatriation', '障害回復  【ショウガイカイフク】  fault recovery', '後退回復  【コウタイカイフク】  backward (file) recovery']","['又  【また】  again, and, also, still (doing something)', '又々  【またまた】  again (and again), once again']"
福,13,467,grade 3,N3,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '礼': 'http:////jisho.org/search/%E7%A4%BC%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji'}",{'示 (礻)': 'sign'},,{'フク': 'http:////jisho.org/search/%E7%A6%8F%20%E3%81%B5%E3%81%8F'},"['福  【フク】  good fortune', '福祉  【フクシ】  welfare, well-being, social welfare, social security, social service', '大福  【ダイフク】  great fortune, good luck, rice cake stuffed with bean jam', '慶福  【ケイフク】  happy event, happiness']",
腹,13,1286,grade 6,N3,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '人': 'http:////jisho.org/search/%E4%BA%BA%20%23kanji', '夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '月': 'http:////jisho.org/search/%E6%9C%88%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'肉 (⺼)': 'meat'},{'フク': 'http:////jisho.org/search/%E8%85%B9%20%E3%81%B5%E3%81%8F'},{'はら': 'http:////jisho.org/search/%E8%85%B9%20%E3%81%AF%E3%82%89'},"['腹痛  【フクツウ】  stomach ache, abdominal pain', ""腹心  【フクシン】  one's confidant, trusted friend, trusted retainer"", ""私腹  【シフク】  one's own profits, one's own pockets"", '開腹  【カイフク】  making a surgical incision in the abdomen']","[""腹  【はら】  abdomen, belly, stomach, womb, one's mind, one's real intentions, one's true motive, courage, nerve, willpower, generosity, magnanimity, feelings, emotions, wide middle part, bulging part, inside, interior, inner part, anti-node, counter for hard roe, counter for containers with bulging middles (pots, vases, etc.)"", '腹痛  【ふくつう】  stomach ache, abdominal pain', '業腹  【ごうはら】  spite, resentment', '赤腹  【あかはら】  brown-headed thrush (Turdus chrysolaus), Japanese dace (Tribolodon hakonensis), Japanese fire belly newt (Cynops pyrrhogaster), dysentery']"
複,14,915,grade 5,N2,"{'夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '初': 'http:////jisho.org/search/%E5%88%9D%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'衣 (衤)': 'clothes'},,{'フク': 'http:////jisho.org/search/%E8%A4%87%20%E3%81%B5%E3%81%8F'},"['複  【フク】  compound, composite, multiple, re-, bi-, doubles (tennis, badminton, etc.), place bet (in horse racing, etc.), show bet, bet that predicts a top 2 or top 3 finish (depending on number of horses, etc. in race)', '複合  【フクゴウ】  composite, combined, complex', '重複  【チョウフク】  duplication, repetition, overlapping, redundancy, restoration', '遺伝子重複  【イデンシジュウフク】  gene duplication']",
覆,18,1378,junior high,N1,"{'夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '彳': 'http:////jisho.org/search/%E5%BD%B3%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '西': 'http:////jisho.org/search/%E8%A5%BF%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}","{'西 (襾, 覀)': 'west'}",{'フク': 'http:////jisho.org/search/%E8%A6%86%20%E3%81%B5%E3%81%8F'},"{'おお.う': 'http:////jisho.org/search/%E8%A6%86%20%E3%81%8A%E3%81%8A%E3%81%86', 'くつがえ.す': 'http:////jisho.org/search/%E8%A6%86%20%E3%81%8F%E3%81%A4%E3%81%8C%E3%81%88%E3%81%99', 'くつがえ.る': 'http:////jisho.org/search/%E8%A6%86%20%E3%81%8F%E3%81%A4%E3%81%8C%E3%81%88%E3%82%8B'}","['覆面  【フクメン】  mask, veil, disguise, anonymous, unmarked, incognito', '覆土  【フクド】  covering seeds with soil', '被覆  【ヒフク】  coating, covering, cover', '傾覆  【ケイフク】  turning upside down']","['覆う  【おおう】  to cover, to hide, to conceal, to wrap, to disguise', '覆す  【くつがえす】  to overturn, to capsize, to upset, to overthrow (government etc.), to reverse (decision etc.), to disprove (an established theory etc.), to overrule', '覆る  【くつがえる】  to topple over, to be overturned, to capsize, to be overruled, to be reversed, to be discredited']"
払,5,813,junior high,N3,"{'厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '扎': 'http:////jisho.org/search/%E6%89%8E%20%23kanji'}",{'手 (扌龵)': 'hand'},"{'フツ': 'http:////jisho.org/search/%E6%89%95%20%E3%81%B5%E3%81%A4', 'ヒツ': 'http:////jisho.org/search/%E6%89%95%20%E3%81%B2%E3%81%A4', 'ホツ': 'http:////jisho.org/search/%E6%89%95%20%E3%81%BB%E3%81%A4'}","{'はら.う': 'http:////jisho.org/search/%E6%89%95%20%E3%81%AF%E3%82%89%E3%81%86', '-はら.い': 'http:////jisho.org/search/%E6%89%95%20%E3%81%AF%E3%82%89%E3%81%84', '-ばら.い': 'http:////jisho.org/search/%E6%89%95%20%E3%81%B0%E3%82%89%E3%81%84'}","['払暁  【フツギョウ】  dawn, daybreak']","[""払う  【はらう】  to pay (e.g. money, bill), to brush off, to wipe away, to clear away, to dust off, to cut off (e.g. branches), to drive away (e.g. one's competitors), to sell off (something unneeded), to dispose of, to pay (e.g. attention), to show (e.g. respect, concern), to make (e.g. effort, sacrifice), to expend, to exert, to move out (of one's own place), to vacate, to sweep (e.g. one's legs), to knock aside, to make a sweeping stroke (in Japanese calligraphy), to reset (an abacus)""]"
沸,8,1709,junior high,N2,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '弓': 'http:////jisho.org/search/%E5%BC%93%20%23kanji', '汁': 'http:////jisho.org/search/%E6%B1%81%20%23kanji'}","{'水 (氵, 氺)': 'water'}",{'フツ': 'http:////jisho.org/search/%E6%B2%B8%20%E3%81%B5%E3%81%A4'},"{'わ.く': 'http:////jisho.org/search/%E6%B2%B8%20%E3%82%8F%E3%81%8F', 'わ.かす': 'http:////jisho.org/search/%E6%B2%B8%20%E3%82%8F%E3%81%8B%E3%81%99'}","['沸々  【フツフツ】  simmer, bubble out, flow out', '沸々  【フツフツ】  simmer, bubble out, flow out']","['沸く  【わく】  to grow hot (e.g. water), to boil, to get excited (at), to erupt (in applause, cheering, etc.), to be in a ferment, to take place energetically, to ferment, to melt (of metal)', '沸かす  【わかす】  to boil, to heat, to excite, to melt (metal)']"
仏,4,819,grade 5,N2,"{'化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji'}","{'人 (亻)': 'man, human'}","{'ブツ': 'http:////jisho.org/search/%E4%BB%8F%20%E3%81%B6%E3%81%A4', 'フツ': 'http:////jisho.org/search/%E4%BB%8F%20%E3%81%B5%E3%81%A4'}",{'ほとけ': 'http:////jisho.org/search/%E4%BB%8F%20%E3%81%BB%E3%81%A8%E3%81%91'},"['仏  【ブツ】  Buddha, Buddhism', '仏像  【ブツゾウ】  statue of Buddha, image of Buddha, Buddhist statue, Buddhist image', '石仏  【セキブツ】  stone Buddhist image, unemotional person, taciturn person', '成仏  【ジョウブツ】  entering Nirvana, becoming a Buddha, going to heaven, resting in peace, dying (peacefully)', '仏  【フツ】  France, French language', '仏語  【フツゴ】  French (language)', '渡仏  【トフツ】  going to France', '米仏  【ベイフツ】  America and France, American-French']","['仏  【ほとけ】  Buddha, merciful person, Buddhist image, the dead, dead person, spirit of the dead', '仏顔  【ほとけがお】  gentle face', '神仏  【しんぶつ】  gods and Buddha, Shinto and Buddhism', '笑い仏  【わらいほとけ】  smiling Buddha (statue), laughing Buddha']"
物,8,215,grade 3,N4,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '勹': 'http:////jisho.org/search/%E5%8B%B9%20%23kanji', '牛': 'http:////jisho.org/search/%E7%89%9B%20%23kanji', '勿': 'http:////jisho.org/search/%E5%8B%BF%20%23kanji'}",{'牛 (牜)': 'cow'},"{'ブツ': 'http:////jisho.org/search/%E7%89%A9%20%E3%81%B6%E3%81%A4', 'モツ': 'http:////jisho.org/search/%E7%89%A9%20%E3%82%82%E3%81%A4'}","{'もの': 'http:////jisho.org/search/%E7%89%A9%20%E3%82%82%E3%81%AE', 'もの-': 'http:////jisho.org/search/%E7%89%A9%20%E3%82%82%E3%81%AE'}","['物  【ブツ】  stock, products, stolen goods, loot, spoils', '物議  【ブツギ】  public discussion, public criticism, controversy', '異物  【イブツ】  foreign substance, foreign body, foreign contamination, strange object, unusual object, dead body, corpse, remains', '遺物  【イブツ】  relic, remains, memento', '財物  【ザイブツ】  property', '幣物  【ヘイモツ】  Shinto offerings, present to a guest']","[""物  【もの】  thing, object, article, stuff, substance, one's things, possessions, property, belongings, things, something, anything, everything, nothing, quality, reason, the way of things, used to emphasize emotion, judgment, etc., used to indicate a common occurrence in the past (after a verb in past tense), used to indicate a general tendency, used to indicate something that should happen, item classified as ..., item related to ..., work in the genre of ..., cause of ..., cause for ..., somehow, somewhat, for some reason, really, truly"", '物言い  【ものいい】  manner of speaking, verbal argument, objection, protesting a decision (esp. that of a sumo referee), rumor, rumour', '先物  【さきもの】  futures', '拾い物  【ひろいもの】  a find, windfall, bargain']"
粉,10,1484,grade 4,N2,"{'ハ': 'http:////jisho.org/search/%E3%83%8F%20%23kanji', '并': 'http:////jisho.org/search/%E5%B9%B6%20%23kanji', '刀': 'http:////jisho.org/search/%E5%88%80%20%23kanji', '米': 'http:////jisho.org/search/%E7%B1%B3%20%23kanji'}",{'米': 'rice'},{'フン': 'http:////jisho.org/search/%E7%B2%89%20%E3%81%B5%E3%82%93'},"{'デシメートル': 'http:////jisho.org/search/%E7%B2%89%20%E3%81%A7%E3%81%97%E3%82%81%E3%83%BC%E3%81%A8%E3%82%8B', 'こ': 'http:////jisho.org/search/%E7%B2%89%20%E3%81%93', 'こな': 'http:////jisho.org/search/%E7%B2%89%20%E3%81%93%E3%81%AA'}","['粉末  【フンマツ】  fine powder', '粉飾  【フンショク】  embellishment (e.g. of a story), ornamentation, decoration, putting on makeup', '米粉  【コメコ】  rice flour', '製粉  【セイフン】  milling, grinding into flour']","['粉  【こな】  flour, meal, powder, dust', '粉ミルク  【こなミルク】  milk powder, baby formula', '火の粉  【ひのこ】  sparks', '薄力粉  【はくりきこ】  wheat flour of low viscosity, weak flour', '粉  【こな】  flour, meal, powder, dust', '粉ミルク  【こなミルク】  milk powder, baby formula']"
紛,10,994,junior high,N1,"{'ハ': 'http:////jisho.org/search/%E3%83%8F%20%23kanji', '刀': 'http:////jisho.org/search/%E5%88%80%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji'}",{'糸 (糹)': 'silk'},{'フン': 'http:////jisho.org/search/%E7%B4%9B%20%E3%81%B5%E3%82%93'},"{'まぎ.れる': 'http:////jisho.org/search/%E7%B4%9B%20%E3%81%BE%E3%81%8E%E3%82%8C%E3%82%8B', '-まぎ.れ': 'http:////jisho.org/search/%E7%B4%9B%20%E3%81%BE%E3%81%8E%E3%82%8C', 'まぎ.らす': 'http:////jisho.org/search/%E7%B4%9B%20%E3%81%BE%E3%81%8E%E3%82%89%E3%81%99', 'まぎ.らわす': 'http:////jisho.org/search/%E7%B4%9B%20%E3%81%BE%E3%81%8E%E3%82%89%E3%82%8F%E3%81%99', 'まぎ.らわしい': 'http:////jisho.org/search/%E7%B4%9B%20%E3%81%BE%E3%81%8E%E3%82%89%E3%82%8F%E3%81%97%E3%81%84'}","['紛争  【フンソウ】  dispute, conflict, trouble, strife', '紛糾  【フンキュウ】  complication, confusion, disorder', '人工授粉  【ジンコウジュフン】  artificial pollination, hand pollination, mechanical pollination']","['紛れる  【まぎれる】  to disappear into, to be lost in, to slip into, to get mixed in among, to do something under the cover of (confusion, etc.), to be almost indistinguishable, to be confusingly similar, to be diverted from (negative emotions, etc.), to forget about, to be distracted by, to be too absorbed in', ""紛らす  【まぎらす】  to divert (e.g. one's mind), to distract, to relieve (e.g. boredom), to conceal (e.g. one's sorrow with a smile), to shift (the conversation)"", '紛らわす  【まぎらわす】  to divert, to distract', '紛らわしい  【まぎらわしい】  easily mixed up (e.g. similar words), easily mistaken, confusingly similar, misleading, equivocal, ambiguous']"
